IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,177.40,,,22.7,,363.8,177.4 [22.7 – 363.8],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,2795.00,,,1639,,4074,2795 [1639 – 4074],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,1578.00,,,925.1,,2300,1578 [925.1 – 2300],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,1217.00,,,713.6,,1774,1217 [713.6 – 1774],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,CMR,Cameroon,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,2775.00,,,1964,,3640,2775 [1964 – 3640],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,CMR,Cameroon,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,1557.00,,,1102,,2042,1557 [1102 – 2042],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,CMR,Cameroon,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,1218.00,,,862.5,,1598,1218 [862.5 – 1598],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,7959.00,,,1360,,15600,7959 [1360 – 15 600],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,4551.00,,,777.6,,8920,4551 [777.6 – 8920],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,3408.00,,,582.4,,6681,3408 [582.4 – 6681],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,COG,Congo,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,189.60,,,32.57,,401.7,189.6 [32.57 – 401.7],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,COG,Congo,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,110.40,,,18.95,,233.7,110.4 [18.95 – 233.7],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,COG,Congo,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,79.29,,,13.62,,167.9,79.29 [13.62 – 167.9],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,COM,Comoros,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,36.11,,,10.32,,67.93,36.11 [10.32 – 67.93],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,COM,Comoros,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,20.00,,,5.72,,37.63,20 [5.72 – 37.63],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,COM,Comoros,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,16.11,,,4.6,,30.3,16.11 [4.6 – 30.3],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,3.98,,,1.94,,6.16,3.98 [1.94 – 6.16],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,2.16,,,1.05,,3.34,2.16 [1.05 – 3.34],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,1.82,,,0.89,,2.82,1.82 [0.89 – 2.82],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,DZA,Algeria,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,411.60,,,187.7,,641.6,411.6 [187.7 – 641.6],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,DZA,Algeria,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,223.60,,,102,,348.5,223.6 [102 – 348.5],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,DZA,Algeria,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,188.00,,,85.75,,293,188 [85.75 – 293],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,ERI,Eritrea,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,100.00,,,30.83,,176.9,100 [30.83 – 176.9],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,ERI,Eritrea,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,58.52,,,18.04,,103.5,58.52 [18.04 – 103.5],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,ERI,Eritrea,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,41.49,,,12.79,,73.38,41.49 [12.79 – 73.38],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,3766.00,,,1777,,5874,3766 [1777 – 5874],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,2154.00,,,1016,,3360,2154 [1016 – 3360],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,1612.00,,,760.5,,2514,1612 [760.5 – 2514],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GAB,Gabon,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,50.46,,,8.5,,103.6,50.46 [8.5 – 103.6],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GAB,Gabon,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,29.95,,,5.04,,61.5,29.95 [5.04 – 61.5],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GAB,Gabon,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,20.52,,,3.46,,42.13,20.52 [3.46 – 42.13],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GHA,Ghana,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,1069.00,,,699.9,,1462,1069 [699.9 – 1462],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GHA,Ghana,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,613.60,,,401.7,,839.2,613.6 [401.7 – 839.2],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GHA,Ghana,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,455.30,,,298.1,,622.8,455.3 [298.1 – 622.8],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GIN,Guinea,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,1437.00,,,795.5,,2103,1437 [795.5 – 2103],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GIN,Guinea,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,809.10,,,447.8,,1184,809.1 [447.8 – 1184],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GIN,Guinea,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,628.20,,,347.7,,919.3,628.2 [347.7 – 919.3],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GMB,Gambia,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,108.70,,,60.35,,157.7,108.7 [60.35 – 157.7],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GMB,Gambia,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,60.74,,,33.74,,88.17,60.74 [33.74 – 88.17],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GMB,Gambia,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,47.92,,,26.61,,69.56,47.92 [26.61 – 69.56],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,108.10,,,55.18,,165.8,108.1 [55.18 – 165.8],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,60.63,,,30.97,,93.01,60.63 [30.97 – 93.01],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,47.42,,,24.22,,72.74,47.42 [24.22 – 72.74],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,97.72,,,14.05,,196.7,97.72 [14.05 – 196.7],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,55.52,,,7.98,,111.8,55.52 [7.98 – 111.8],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,42.20,,,6.07,,84.97,42.2 [6.07 – 84.97],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,843.60,,,290.4,,1549,843.6 [290.4 – 1549],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,473.80,,,163.1,,870,473.8 [163.1 – 870],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,369.70,,,127.3,,678.9,369.7 [127.3 – 678.9],,,EN,2022-08-26
